Llaryora participó del lanzamiento del Festival de Cine Cordobés 2022,23/11/2022
Cierre del programa Ciencias y Tecnología en Escuelas y Jardines Municipales 2022,22/11/2022
Más de 10 mil personas disfrutaron de una nueva edición del Festival Nacional del Asado Criollo,22/11/2022
Llaryora visitó el mural homenaje a los “Genios del Fútbol Mundial”,19/11/2022
Llega “La Noche de los Museos” a numerosos espacios culturales de la ciudad,18/11/2022
Alumnos de 6to grado vivieron su Mundial de Metegol en el Parque Educativo Sur,18/11/2022
Agendá y disfrutá las propuestas que invita la Municipalidad para este “finde” largo,18/11/2022
Más de 400 personas disfrutaron de la “Noche de las Estrellas” en la Reserva Natural San Martín,18/11/2022
"Por razones climáticas, reprograman el Festival del Asado Criollo para el lunes 21",18/11/2022
Alumnos de escuelas municipales embellecieron con su canto la tarde cordobesa,17/11/2022
"“Pasión”, el nuevo mural de Messi que podrá disfrutarse en barrio Argüello",17/11/2022
Córdoba Capital espera otro fin de semana de buen movimiento turístico,17/11/2022
Se viene el Festival del Asado Criollo: este año con un récord de 70 parejas inscriptas para participar de la competencia,17/11/2022
Comienza el Festival Música Barroca de Dos Mundos,17/11/2022
Mañana llega “La Noche de  los Museos” a numerosos espacios culturales de la Ciudad,17/11/2022
"Educación en cuarteto: por el Día de la Tradición, alumnos municipales repasan la música popular en la escuela",16/11/2022
Festival Nacional del Asado Criollo: último día para inscribirse en la competencia,15/11/2022
Se viene “La Noche de los Museos 2022” en los espacios culturales municipales,14/11/2022
Buena actuación de la natación adaptada del Club Municipalidad en el torneo Centro de la República,14/11/2022
Fin de semana largo: la ciudad será sede del “Festival Música Barroca de Dos Mundos”,14/11/2022
Se conocieron los ganadores del Primer Pre Cosquín sede Córdoba,14/11/2022
Ante un gran número de vecinos se llevó a cabo el Mundial de Payana,11/11/2022
"En el Mes de la Música, el Mercado Norte ofrece una jornada de actividades para todos los gustos",11/11/2022
Comenzaron las presentaciones artísticas para el Pre Cosquín 2022,11/11/2022
La Agenda Municipal invita con imperdibles propuestas para vivir otro gran “finde” en la ciudad,11/11/2022
La Municipalidad lanzó el primer Taller de Freestyle,10/11/2022
Se dictará un taller gratuito de “Reciclado Creativo en la Escuela”,10/11/2022
